#      x          Cp  
     1.00000    0.48216
     0.99117    0.25684
     0.97967    0.17798
     0.96674    0.10720
     0.95250    0.04785
     0.93718   -0.00583
     0.92103   -0.05508
     0.90430   -0.10079
     0.88719   -0.14355
     0.86984   -0.18385
     0.85232   -0.22209
     0.83469   -0.25861
     0.81700   -0.29371
     0.79925   -0.32762
     0.78146   -0.36055
     0.76364   -0.39268
     0.74581   -0.42415
     0.72795   -0.45509
     0.71009   -0.48562
     0.69221   -0.51585
     0.67434   -0.54585
     0.65646   -0.57571
     0.63858   -0.60552
     0.62071   -0.63534
     0.60285   -0.66525
     0.58500   -0.69531
     0.56717   -0.72560
     0.54937   -0.75619
     0.53159   -0.78717
     0.51385   -0.81865
     0.49615   -0.85073
     0.47851   -0.88359
     0.46094   -0.91745
     0.44345   -0.95267
     0.42608   -0.98989
     0.40888   -1.03085
     0.39192   -1.08333
     0.37520   -1.12401
     0.35865   -1.15976
     0.34225   -1.19234
     0.32597   -1.22238
     0.30981   -1.25014
     0.29378   -1.27574
     0.27789   -1.29923
     0.26214   -1.32062
     0.24655   -1.33988
     0.23115   -1.35697
     0.21595   -1.37185
     0.20100   -1.38446
     0.18631   -1.39476
     0.17195   -1.40271
     0.15797   -1.40830
     0.14444   -1.41152
     0.13142   -1.41242
     0.11900   -1.41107
     0.10727   -1.40757
     0.09629   -1.40207
     0.08612   -1.39471
     0.07677   -1.38564
     0.06825   -1.37496
     0.06054   -1.36272
     0.05358   -1.34890
     0.04732   -1.33338
     0.04168   -1.31598
     0.03662   -1.29641
     0.03206   -1.27429
     0.02795   -1.24915
     0.02424   -1.22039
     0.02089   -1.18729
     0.01787   -1.14898
     0.01515   -1.10443
     0.01269   -1.05244
     0.01049   -0.99162
     0.00851   -0.92043
     0.00676   -0.83721
     0.00523   -0.74032
     0.00389   -0.62833
     0.00276   -0.50035
     0.00183   -0.35648
     0.00109   -0.19828
     0.00054   -0.02932
     0.00019    0.14507
     0.00002    0.31691
     0.00003    0.47852
     0.00022    0.63065
     0.00062    0.76681
     0.00125    0.87690
     0.00211    0.95337
     0.00322    0.99307
     0.00457    0.99819
     0.00616    0.97495
     0.00799    0.93130
     0.01004    0.87490
     0.01232    0.81198
     0.01483    0.74706
     0.01758    0.68314
     0.02058    0.62202
     0.02385    0.56468
     0.02740    0.51156
     0.03128    0.46277
     0.03551    0.41824
     0.04015    0.37778
     0.04524    0.34118
     0.05085    0.30821
     0.05706    0.27870
     0.06396    0.25246
     0.07164    0.22939
     0.08021    0.20939
     0.08977    0.19240
     0.10041    0.17838
     0.11218    0.16726
     0.12510    0.15893
     0.13913    0.15319
     0.15416    0.14977
     0.17008    0.14834
     0.18674    0.14854
     0.20402    0.15000
     0.22181    0.15238
     0.24001    0.15539
     0.25854    0.15874
     0.27736    0.16221
     0.29639    0.16557
     0.31560    0.16862
     0.33490    0.17111
     0.35423    0.17277
     0.37352    0.17324
     0.39276    0.17113
     0.41195    0.16428
     0.43113    0.16299
     0.45035    0.16311
     0.46962    0.16412
     0.48894    0.16566
     0.50832    0.16758
     0.52775    0.16974
     0.54723    0.17205
     0.56674    0.17447
     0.58627    0.17694
     0.60579    0.17942
     0.62530    0.18190
     0.64478    0.18436
     0.66424    0.18680
     0.68369    0.18921
     0.70311    0.19162
     0.72252    0.19403
     0.74192    0.19648
     0.76131    0.19900
     0.78069    0.20164
     0.80005    0.20448
     0.81939    0.20761
     0.83869    0.21113
     0.85792    0.21523
     0.87702    0.22012
     0.89589    0.22611
     0.91437    0.23364
     0.93219    0.24332
     0.94904    0.25608
     0.96456    0.27331
     0.97849    0.29881
     0.99072    0.33468
     1.00000    0.48216
