#      x          Cp  
     1.00000    0.50281
     0.99117    0.27308
     0.97967    0.18927
     0.96674    0.11236
     0.95250    0.04652
     0.93718   -0.01411
     0.92103   -0.07065
     0.90430   -0.12393
     0.88719   -0.17449
     0.86984   -0.22278
     0.85232   -0.26921
     0.83469   -0.31411
     0.81700   -0.35779
     0.79925   -0.40049
     0.78146   -0.44243
     0.76364   -0.48382
     0.74581   -0.52481
     0.72795   -0.56557
     0.71009   -0.60622
     0.69221   -0.64690
     0.67434   -0.68772
     0.65646   -0.72880
     0.63858   -0.77023
     0.62071   -0.81214
     0.60285   -0.85463
     0.58500   -0.89781
     0.56717   -0.94179
     0.54937   -0.98672
     0.53159   -1.03272
     0.51385   -1.07997
     0.49615   -1.12867
     0.47851   -1.17906
     0.46094   -1.23148
     0.44345   -1.28645
     0.42608   -1.34476
     0.40888   -1.40862
     0.39192   -1.48746
     0.37520   -1.55360
     0.35865   -1.61521
     0.34225   -1.67448
     0.32597   -1.73223
     0.30981   -1.78890
     0.29378   -1.84474
     0.27789   -1.89995
     0.26214   -1.95469
     0.24655   -2.00909
     0.23115   -2.06331
     0.21595   -2.11750
     0.20100   -2.17184
     0.18631   -2.22655
     0.17195   -2.28185
     0.15797   -2.33801
     0.14444   -2.39532
     0.13142   -2.45406
     0.11900   -2.51450
     0.10727   -2.57688
     0.09629   -2.64138
     0.08612   -2.70809
     0.07677   -2.77705
     0.06825   -2.84822
     0.06054   -2.92154
     0.05358   -2.99690
     0.04732   -3.07417
     0.04168   -3.15323
     0.03662   -3.23388
     0.03206   -3.31584
     0.02795   -3.39876
     0.02424   -3.48211
     0.02089   -3.56515
     0.01787   -3.64681
     0.01515   -3.72565
     0.01269   -3.79964
     0.01049   -3.86611
     0.00851   -3.92150
     0.00676   -3.96120
     0.00523   -3.97946
     0.00389   -3.96935
     0.00276   -3.92304
     0.00183   -3.83243
     0.00109   -3.69036
     0.00054   -3.49241
     0.00019   -3.23848
     0.00002   -2.93605
     0.00003   -2.60457
     0.00022   -2.23326
     0.00062   -1.81650
     0.00125   -1.37135
     0.00211   -0.92257
     0.00322   -0.49820
     0.00457   -0.12126
     0.00616    0.19486
     0.00799    0.44685
     0.01004    0.63884
     0.01232    0.77896
     0.01483    0.87656
     0.01758    0.94048
     0.02058    0.97838
     0.02385    0.99646
     0.02740    0.99961
     0.03128    0.99160
     0.03551    0.97529
     0.04015    0.95286
     0.04524    0.92596
     0.05085    0.89584
     0.05706    0.86350
     0.06396    0.82971
     0.07164    0.79513
     0.08021    0.76035
     0.08977    0.72591
     0.10041    0.69238
     0.11218    0.66027
     0.12510    0.63007
     0.13913    0.60218
     0.15416    0.57684
     0.17008    0.55414
     0.18674    0.53402
     0.20402    0.51628
     0.22181    0.50068
     0.24001    0.48693
     0.25854    0.47473
     0.27736    0.46380
     0.29639    0.45387
     0.31560    0.44466
     0.33490    0.43593
     0.35423    0.42738
     0.37352    0.41865
     0.39276    0.40864
     0.41195    0.39561
     0.43113    0.38691
     0.45035    0.37959
     0.46962    0.37324
     0.48894    0.36760
     0.50832    0.36251
     0.52775    0.35786
     0.54723    0.35357
     0.56674    0.34958
     0.58627    0.34582
     0.60579    0.34227
     0.62530    0.33888
     0.64478    0.33563
     0.66424    0.33249
     0.68369    0.32945
     0.70311    0.32650
     0.72252    0.32364
     0.74192    0.32087
     0.76131    0.31820
     0.78069    0.31568
     0.80005    0.31332
     0.81939    0.31121
     0.83869    0.30942
     0.85792    0.30808
     0.87702    0.30737
     0.89589    0.30757
     0.91437    0.30907
     0.93219    0.31243
     0.94904    0.31855
     0.96456    0.32879
     0.97849    0.34645
     0.99072    0.37449
     1.00000    0.50281
